frame_id,ball_carrier,control_probability,contested,contextual_xG,best_pass_option,best_pass_EV,risk_index,team_compactness,possession_probability,momentum_state
0,1.0,0.9295125021411308,False,0.04708585112996667,1.0,0.04708585112996667,0.0,5218.291415800821,1.0,Neutral
1,1.0,0.9998766183853149,False,0.04636241374409122,1.0,0.04636241374409122,0.0,0.0,1.0,Neutral
2,1.0,0.9998922348022461,False,0.04553814912299406,1.0,0.04553814912299406,0.0,0.0,1.0,Neutral
3,2.0,0.9965180145265384,False,0.019350852175697267,2.0,0.019350852175697267,0.0,0.0,1.0,Neutral
4,2.0,0.9964470854798305,False,0.01912003020840443,2.0,0.01912003020840443,0.0,0.0,1.0,Neutral
5,2.0,0.9741067552964676,False,0.018889416925581607,2.0,0.018889416925581607,0.0,2396.3206947764434,1.0,Neutral
6,2.0,0.8823441308838595,False,0.018681650688453642,2.0,0.018681650688453642,0.0,5479.125983617592,1.0,Neutral
7,1.0,0.9967359900474548,False,0.04251524161072409,1.0,0.04251524161072409,0.0,8108.086055407484,1.0,Neutral
8,1.0,0.9970322847366333,False,0.04211290208859883,1.0,0.04211290208859883,0.0,10404.99646312228,1.0,Neutral
9,1.0,0.9956898093223572,False,0.04211480027795541,1.0,0.04211480027795541,0.0,10356.343822058256,1.0,Neutral
10,1.0,0.9942495822906494,False,0.042189865556456534,1.0,0.042189865556456534,0.0,10322.487087546351,1.0,Neutral
11,1.0,0.9826000332832336,False,0.042339455591295094,1.0,0.042339455591295094,0.0,10256.948916057514,1.0,Neutral
12,1.0,0.975846529006958,False,0.04247202150651572,1.0,0.04247202150651572,0.0,12411.947002862533,1.0,Neutral
13,1.0,0.8431957208392158,False,0.04329686666660731,1.0,0.04329686666660731,0.0,10051.005393757185,1.0,Neutral
14,1.0,0.8336940214328087,False,0.04370329779360817,45.0,0.07840136387999844,0.7215612891147998,9931.457777485299,1.0,Neutral
15,40.0,0.8299801828777901,False,0.02848702693562248,45.0,0.36516643063842036,0.49249142683080394,9802.10417662187,1.0,Neutral
16,1.0,0.8064432242081297,False,0.04485846067948892,45.0,0.190675595431749,0.6394310775311588,9650.223872088061,1.0,Neutral
17,1.0,0.787442745946396,False,0.04564408381276268,45.0,0.23989141977471207,0.7445983610911049,9490.381859556746,1.0,Neutral
18,1.0,0.7637196129774517,False,0.04643387310319862,45.0,0.22409810132921007,0.6870304823878224,9274.069425535825,1.0,Neutral
19,39.0,0.6792723545502278,False,0.022626721070327583,39.0,0.022626721070327583,0.0,9084.824410550575,1.0,Neutral
20,2.0,0.8055139309286415,False,0.017551101084745495,2.0,0.017551101084745495,0.0,8879.577527169226,1.0,Neutral
21,1.0,0.6717781697148393,False,0.04869890485475645,45.0,0.1660195218743276,0.622663883651371,10653.609021915494,1.0,Neutral
22,2.0,0.79622500357815,False,0.017574189232597723,2.0,0.017574189232597723,0.0,10507.367574909327,1.0,Neutral
23,40.0,0.872983801907413,False,0.0685198611737929,45.0,0.08020740199668427,0.7485033531904909,10363.158609005994,1.0,Neutral
24,40.0,0.8761570935196711,False,0.07649512063985552,40.0,0.07649512063985552,0.0,10162.868916829502,1.0,Neutral
25,40.0,0.8790517941677682,False,0.08278976725861686,40.0,0.08278976725861686,0.0,10020.88219385656,1.0,Neutral
26,40.0,0.879820620400227,False,0.09073313170233403,40.0,0.09073313170233403,0.0,9908.99901510814,1.0,Neutral
27,40.0,0.8811199188888136,False,0.09642030874981922,40.0,0.09642030874981922,0.0,9811.09586176043,1.0,Neutral
28,35.0,0.5505922436714172,True,0.01178879037620043,40.0,0.01895527821286074,0.8098985802983284,9706.256580399035,1.0,Neutral
29,40.0,0.9063309551877874,False,0.10497636720003582,40.0,0.10497636720003582,0.0,9642.533573633038,1.0,Positive
30,40.0,0.8864356233699968,False,0.10968422818449446,40.0,0.10968422818449446,0.0,9556.508012401675,1.0,Positive
31,35.0,0.8047934770584106,False,0.012272258867668518,40.0,0.02339226781320091,0.7956169450810303,9449.592581144669,1.0,Positive
32,35.0,0.8380399346351624,False,0.012324404653307171,40.0,0.024859595068760922,0.7922737074911071,9355.19515906744,1.0,Positive
33,35.0,0.8105408549308777,False,0.012320769145638972,40.0,0.025571929320616287,0.7911124581429697,9279.076533254574,1.0,Neutral
34,35.0,0.6615192294120789,False,0.012214930565740795,40.0,0.02608778016057492,0.791608131070459,8857.513027161302,1.0,Neutral
35,40.0,0.8895011273970351,False,0.12691177902909212,40.0,0.12691177902909212,0.0,9185.188357057672,1.0,Positive
36,2.0,0.6449469535426425,False,0.01798527127546379,2.0,0.01798527127546379,0.0,9163.400467113726,1.0,Neutral
37,75.0,0.5019665360450745,True,0.09854094356121162,75.0,0.09854094356121162,0.0,9183.51689672663,1.0,Positive
38,75.0,0.5914168357849121,True,0.10363990314393315,75.0,0.10363990314393315,0.0,7186.089734956539,1.0,Positive
39,75.0,0.6465602517127991,True,0.10696749367333727,75.0,0.10696749367333727,0.0,7020.804206963097,1.0,Positive
40,75.0,0.7206891179084778,False,0.10917669348728432,75.0,0.10917669348728432,0.0,9132.707392557959,1.0,Positive
41,75.0,0.7526193261146545,False,0.10972166200912375,75.0,0.10972166200912375,0.0,7255.72826867269,1.0,Positive
42,75.0,0.7720429301261902,False,0.11082322515559094,75.0,0.11082322515559094,0.0,9535.698009075903,1.0,Positive
43,75.0,0.7967222332954407,False,0.10701151812561689,75.0,0.10701151812561689,0.0,9886.143589091704,1.0,Positive
44,75.0,0.8036567568778992,False,0.09765229079287635,75.0,0.09765229079287635,0.0,10272.031252731853,1.0,Positive
