frame,player_id,pitch_x_meter,pitch_y_meter,raw_x,raw_y,vx,vy,speed,acceleration,team_id,is_my_team,is_ball_carrier,control_probability
0,1,73.45162963867188,12.300824165344238,73.45162963867188,12.300824165344238,0.0,0.0,0.0,0.0,0,True,True,0.9295125021411308
0,2,-1.3353735208511353,55.981414794921875,-1.3353735208511353,55.981414794921875,0.0,0.0,0.0,0.0,0,True,False,
0,3,6.0366411209106445,18.05323028564453,6.0366411209106445,18.05323028564453,0.0,0.0,0.0,0.0,1,False,False,
0,4,-25.10346221923828,9.143942832946777,-25.10346221923828,9.143942832946777,0.0,0.0,0.0,0.0,0,True,False,
0,5,29.23158073425293,10.283157348632812,29.23158073425293,10.283157348632812,0.0,0.0,0.0,0.0,0,True,False,
0,6,-23.872684478759766,-13.452383995056152,-23.872684478759766,-13.452383995056152,0.0,0.0,0.0,0.0,1,False,False,
0,7,124.98167419433594,-45.868370056152344,124.98167419433594,-45.868370056152344,0.0,0.0,0.0,0.0,0,True,False,
1,1,71.66871999705023,12.456455741493158,70.05024719238281,12.597733497619629,-0.06473891218669703,0.005651110245058823,0.23394632056011927,1.624627226111939,0,True,True,0.9998766183853149
1,2,-2.622558498364417,56.11146402958005,-3.791027069091797,56.22951889038086,-0.04673874282909519,0.004722194432032439,0.16911607626543632,1.1744171962877519,0,True,False,
2,1,70.02923397641086,12.524705796423047,67.42044067382812,12.633118629455566,-0.22909984173517992,0.012481407606895973,0.8259825048543002,4.112569765676662,0,True,True,0.9998922348022461
2,2,-3.7409260346059043,56.66924479311565,-5.5203375816345215,57.55790328979492,-0.1588464117767969,0.06071004767466399,0.6121894198713231,3.132767261903397,0,True,False,
3,1,68.28441494585688,12.591044226806686,64.74626922607422,12.725257873535156,-0.5354480962553813,0.024102216828564747,1.9295650092932186,7.6642145820095475,0,True,False,
3,2,-4.96314582844835,57.12220547934525,-7.441697597503662,58.040618896484375,-0.3734503507673863,0.14023033020440379,1.4360783549541645,5.7215779053884175,0,True,True,0.9965180145265384
4,1,66.41657678430505,12.580300631686546,62.17994689941406,12.553437232971191,-1.0004585130245185,0.021153703370494818,3.602455650278813,11.625494114107019,0,True,False,
4,2,-6.2879512127348365,57.408761908248216,-9.293455123901367,58.05339813232422,-0.703332984914169,0.21098528576261805,2.643469185948049,8.434631588266946,0,True,True,0.9964470854798305
5,1,64.43984380106656,13.196646217754159,59.73752975463867,14.691069602966309,-1.6201238872134964,0.21808704662469866,5.885051339872516,16.2551514460425,0,True,False,
5,2,-7.671197508292568,57.64352711804682,-10.96139144897461,58.19304275512695,-1.136910844512006,0.2833998054037782,4.218121272108218,10.98958663315816,0,True,True,0.9741067552964676
5,23,-40.46623229980469,11.395347595214844,-40.46623229980469,11.395347595214844,0.0,0.0,0.0,0.0,0,True,False,
6,1,62.67399117301831,15.268863470619698,58.437652587890625,20.407848358154297,-2.2648096713721824,1.0001374978399966,8.912917967375275,25.337998497098567,0,True,False,
6,2,-8.862169742979168,58.04073139304289,-11.714945793151855,59.001708984375,-1.5710461545156247,0.42964132495602014,5.863445986189241,11.452621136471524,0,True,True,0.8823441308838595
6,23,-41.42941325564869,11.921500716410891,-42.30376052856445,12.399127006530762,-0.03497389091663048,0.01910505160479478,0.14346693526038085,0.9962981615304225,0,True,False,
6,30,-41.68585968017578,-5.376112461090088,-41.68585968017578,-5.376112461090088,0.0,0.0,0.0,0.0,1,False,False,
6,33,-9.627666473388672,22.92344856262207,-9.627666473388672,22.92344856262207,0.0,0.0,0.0,0.0,1,False,False,
6,35,98.90130615234375,-43.75736618041992,98.90130615234375,-43.75736618041992,0.0,0.0,0.0,0.0,0,True,False,
7,1,61.19059531106344,15.180565392139773,57.68819808959961,14.857928276062012,-2.8628894638438385,0.9450430219065122,10.853413354559551,15.015301350649871,0,True,True,0.9967359900474548
7,2,-10.104713838908795,58.33190277630027,-13.07123851776123,59.020877838134766,-2.0776187538247846,0.5472927607996974,7.734580565059488,13.00138595320989,0,True,False,
7,23,-42.27736773810689,12.326623139083638,-43.62656021118164,12.97106647491455,-0.1199766118278052,0.059706698969356105,0.48244402125631436,2.35504197561042,0,True,False,
7,30,-42.49466078300462,-4.650935986489454,-43.22886657714844,-3.9926421642303467,-0.029368231765752876,0.026331752890364313,0.14199954593359573,0.9861079578721926,1,False,False,
7,33,-10.792534318494852,22.492746828715976,-11.849967002868652,22.101768493652344,-0.04229730737495204,-0.015639133402545233,0.16234541993419146,1.127398749542996,1,False,False,
7,35,97.52703812406415,-43.648924166501864,96.2795181274414,-43.55048370361328,-0.049900799864909466,0.003937618515543216,0.18020129544718264,1.2513978850498793,0,True,False,
7,39,10.394018173217773,15.510302543640137,10.394018173217773,15.510302543640137,0.0,0.0,0.0,0.0,0,True,False,
7,40,130.7184295654297,-0.9230204820632935,130.7184295654297,-0.9230204820632935,0.0,0.0,0.0,0.0,0,True,False,
8,1,59.89085400604561,15.821769511525362,56.90473937988281,17.342010498046875,-3.422859053268388,1.2301254208172139,13.09389466649583,15.709032339091154,0,True,True,0.9970322847366333
8,2,-11.2168308750045,58.585461939354936,-13.80937385559082,59.16913604736328,-2.563784025474096,0.6567459437939375,9.527632275702013,12.458347367965262,0,True,False,
8,23,-43.49054426398012,12.482073965861716,-45.95383071899414,12.794093132019043,-0.33325881263076007,0.08672269392815553,1.2396879096866835,5.374660522010079,0,True,False,
8,30,-43.85067473251943,-4.79143391648504,-46.00994110107422,-5.017030239105225,-0.1654077666446131,0.012118583433104525,0.597063981267468,3.4195000764071315,1,False,False,
